time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2020-05-02 23:04:54.994 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,68154638336,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588460694835,,, , , , , , , , , ,3145728,1377,2,2,1,2, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , ,1,29,3,17,50284736, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 15:57:09.971 UTC, , , , , , , , , ,125,3158877,13024, , ,3, ,21,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,68001837056,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588521429810,,, , , , , , , , , ,3145728,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,1,24,3,16,54641368, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:34:34.663 UTC, , , , , , , , , ,125,3158877,13024, , ,3, ,21,3,0,14, , , , , , , ,3,3, ,2, ,2,1,5, ,18,10, , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995049984,57,57,57,57, , , , , ,1,23, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1377, , , , , , ,17, , ,2, , ,3, , ,17, ,2048,1, , , , , ,98828,28, , , , , , ,1,23,3,15,54107656, , , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:35:34.669 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, ,3, , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995721728,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,76355912, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:36:34.674 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995701248,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,90774424, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:37:34.676 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995701248,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,106503736, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:38:34.680 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995676672,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,122233048, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:39:34.683 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995672576,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,137962392, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:40:34.687 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995672576,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , ,1,22,51561456, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2020-05-03 16:41:34.691 UTC, , , , , , , , , ,125,3160469,14504,112, ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,1377,1, ,744, , , , ,1427,67995672576,60,60,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1588523674509,,, , , , , , , , , ,3145728,1592, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,66117424, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
